,closest_county,county,closest_distance
101,angelina,trinity,32.80296354690032
81,angelina,polk,34.84786018279663
85,aransas,refugio,13.003857142750851
11,aransas,calhoun,26.31029102690012
105,austin,washington,25.240788187387146
21,austin,colorado,24.9717339221623
44,baylor,haskell,42.53492590232635
100,baylor,throckmorton,30.37811493507412
63,baylor,knox,30.07652666534199
33,baylor,foard,38.93069633311989
37,bee,goliad,23.646316717838555
66,bee,live oak,23.567450192137212
15,bowie,cass,23.363031531309996
9,brazos,burleson,21.66961600808064
19,brown,coleman,27.079172174307885
0,cherokee,anderson,28.589672725287897
20,childress,collingsworth,30.343898495436118
22,childress,cottle,30.818747997000177
107,childress,wheeler,60.420419252337254
42,childress,hardeman,30.878033545817097
39,childress,hall,27.004787075748578
28,childress,donley,45.80645246279341
57,comal,kendall,25.203317307748993
31,comanche,erath,27.212584961948167
72,cooke,montague,30.341150387855333
40,coryell,hamilton,29.032551207939054
50,culberson,hudspeth,49.29074667813749
76,deaf smith,oldham,30.36574045852767
80,deaf smith,parmer,31.828397947691567
110,denton,wise,31.091397994912093
64,dewitt,lavaca,34.346740589964
56,dewitt,karnes,31.063778867339877
75,dickens,motley,31.669513441915587
61,dickens,king,30.134234755378394
59,dickens,kent,29.945963951227046
97,fisher,stonewall,31.291194077194525
106,fort bend,wharton,27.82674803578781
60,gillespie,kerr,29.294229987667137
67,gillespie,llano,32.274258020249654
103,gregg,upshur,19.53136262368636
109,guadalupe,wilson,29.158837069810897
7,hale,briscoe,47.54791421814358
32,hale,floyd,30.007562721756592
4,hays,blanco,27.047810087991014
6,hill,bosque,26.327955354313552
71,howard,mitchell,30.083475935516322
82,hunt,rains,24.208727008113446
48,hunt,hopkins,29.643173058208145
86,hutchinson,roberts,30.36913029170945
94,hutchinson,sherman,42.69754932661931
14,hutchinson,carson,30.194275517078548
38,hutchinson,gray,43.01501963321672
73,hutchinson,moore,30.178753827773477
102,jasper,tyler,14.898506986236715
8,jim hogg,brooks,27.69080702520952
29,jim wells,duval,26.839927088460332
47,johnson,hood,27.13719915517971
95,johnson,somervell,25.36760816913052
87,kaufman,rockwall,22.219188155070984
104,kaufman,van zandt,29.55775538213365
58,kleberg,kenedy,31.948413548866263
69,la salle,mcmullen,32.66017592642599
27,lamar,delta,18.585692263708385
16,lamb,castro,32.3493644352422
10,lampasas,burnet,28.146811808359118
49,leon,houston,32.15655012692116
25,lubbock,crosby,30.005151155929727
3,medina,bandera,26.01433905765586
36,midland,glasscock,30.010044919213634
90,nacogdoches,san augustine,23.82861451337898
46,navarro,henderson,31.285195831226357
35,navarro,freestone,30.157360429958683
18,nolan,coke,29.598854595530945
65,ochiltree,lipscomb,30.26322869328173
45,ochiltree,hemphill,43.120007399773094
41,ochiltree,hansford,30.03350484710936
99,pecos,terrell,52.57853315700778
43,potter,hartley,50.099351235724576
26,potter,dallam,72.47465879825913
54,presidio,jeff davis,48.56233120438997
2,randall,armstrong,30.573347658997054
98,randall,swisher,31.495153112766573
30,real,edwards,27.221771894491372
68,reeves,loving,30.41056028354577
78,rusk,panola,24.51966204613807
70,san saba,mills,20.187637911104783
5,scurry,borden,30.002234412905317
89,shelby,sabine,35.40821263306983
111,smith,wood,24.475125384880858
93,stephens,shackelford,30.122360397341005
112,stephens,young,31.717201079902296
52,stephens,jack,51.737492111502924
77,stephens,palo pinto,30.35290557334664
92,sutton,schleicher,27.560394682501393
79,tarrant,parker,29.87509251432917
12,taylor,callahan,30.199101676411033
55,taylor,jones,30.21508187695183
88,taylor,runnels,32.885394974977174
13,titus,camp,16.07719631112574
84,titus,red river,27.727573216325634
74,titus,morris,14.134012213012054
34,titus,franklin,14.534415682620674
96,tom green,sterling,37.022191029414486
51,tom green,irion,24.25016977613058
24,upton,crockett,49.00110125681732
83,upton,reagan,30.669950175092556
23,upton,crane,28.10405696469901
62,uvalde,kinney,40.686919316216375
53,victoria,jackson,26.70249610892394
91,walker,san jacinto,28.4931556560446
1,wichita,archer,26.615393358372703
108,wichita,wilbarger,31.840230088244294
17,wichita,clay,32.069708571054626
