,county,centroid,longitude,latitude
0,atascosa,"-98.52550129237503,28.89332098109323",-98.52550129237503,28.89332098109323
1,matagorda,"-95.99530169303894,28.84771261549633",-95.99530169303894,28.84771261549633
2,jackson,"-96.56923395706752,28.8874181215156",-96.56923395706752,28.8874181215156
3,dewitt,"-97.36382516011945,29.07072652031978",-97.36382516011945,29.07072652031978
4,wilson,"-98.07891405628709,29.18641646756914",-98.07891405628709,29.18641646756914
5,kinney,"-100.4366127456046,29.34656308460671",-100.4366127456046,29.34656308460671
6,uvalde,"-99.76187197447183,29.35675320951569",-99.76187197447183,29.35675320951569
7,lavaca,"-96.92260002327953,29.3842519473018",-96.92260002327953,29.3842519473018
8,brazoria,"-95.43313535001032,29.1386573677484",-95.43313535001032,29.1386573677484
9,wharton,"-96.20042617065299,29.30484260782298",-96.20042617065299,29.30484260782298
10,medina,"-99.09171950829293,29.37769997178717",-99.09171950829293,29.37769997178717
11,galveston,"-95.00962566632663,29.409470101424",-95.00962566632663,29.409470101424
12,bexar,"-98.48059521473755,29.48958412379893",-98.48059521473755,29.48958412379893
13,gonzales,"-97.49154523419949,29.46486411192864",-97.49154523419949,29.46486411192864
14,fort bend,"-95.81205498590552,29.52252469185454",-95.81205498590552,29.52252469185454
15,guadalupe,"-97.96015020771024,29.59506769325031",-97.96015020771024,29.59506769325031
16,bandera,"-99.22232817601845,29.73621813019453",-99.22232817601845,29.73621813019453
17,colorado,"-96.52740121507334,29.60609972182251",-96.52740121507334,29.60609972182251
18,chambers,"-94.69016566646346,29.73072922525042",-94.69016566646346,29.73072922525042
19,comal,"-98.32767047102737,29.78869035599996",-98.32767047102737,29.78869035599996
20,real,"-99.833446350963,29.83134587146225",-99.833446350963,29.83134587146225
21,caldwell,"-97.64225654017507,29.81611472308385",-97.64225654017507,29.81611472308385
22,kendall,"-98.71002683867337,29.93973473221831",-98.71002683867337,29.93973473221831
23,austin,"-96.24298901612823,29.86943467030818",-96.24298901612823,29.86943467030818
24,fayette,"-96.92365288477824,29.8841664345551",-96.92365288477824,29.8841664345551
25,harris,"-95.25683646767074,29.79784703698046",-95.25683646767074,29.79784703698046
26,edwards,"-100.2536117683217,29.98041845147042",-100.2536117683217,29.98041845147042
27,kerr,"-99.33279970871484,30.05750197109472",-99.33279970871484,30.05750197109472
28,val verde,"-101.1754321695404,29.84222292252006",-101.1754321695404,29.84222292252006
29,waller,"-96.00070961335312,30.02392146970297",-96.00070961335312,30.02392146970297
30,jefferson,"-94.16396911824317,29.94012156918913",-94.16396911824317,29.94012156918913
31,hays,"-98.02078009032009,30.04776298517879",-98.02078009032009,30.04776298517879
32,cameron,"-97.43275992036125,26.08649517558318",-97.43275992036125,26.08649517558318
33,willacy,"-97.62830661185416,26.46334653192493",-97.62830661185416,26.46334653192493
34,starr,"-98.74694463065536,26.53990759251432",-98.74694463065536,26.53990759251432
35,hidalgo,"-98.18362160409704,26.34626226497264",-98.18362160409704,26.34626226497264
36,brooks,"-98.23988845455416,27.04162916030131",-98.23988845455416,27.04162916030131
37,kenedy,"-97.68468218856216,26.94188790558209",-97.68468218856216,26.94188790558209
38,zapata,"-99.18523963735166,26.99535584737793",-99.18523963735166,26.99535584737793
39,jim hogg,"-98.6888691826705,27.0608889086825",-98.6888691826705,27.0608889086825
40,kleberg,"-97.69814496148011,27.40361033877766",-97.69814496148011,27.40361033877766
41,nueces,"-97.53042312427547,27.7327538770804",-97.53042312427547,27.7327538770804
42,duval,"-98.50988980168826,27.6644718090222",-98.50988980168826,27.6644718090222
43,jim wells,"-98.07536048112213,27.71465185947187",-98.07536048112213,27.71465185947187
44,san patricio,"-97.50970856491924,27.98276063985562",-97.50970856491924,27.98276063985562
45,webb,"-99.4212166323564,27.78483234525953",-99.4212166323564,27.78483234525953
46,aransas,"-96.95457911568933,28.21685543591445",-96.95457911568933,28.21685543591445
47,refugio,"-97.14100340184709,28.30840376084709",-97.14100340184709,28.30840376084709
48,dimmit,"-99.75922626006529,28.42154945103943",-99.75922626006529,28.42154945103943
49,la salle,"-99.10463683103289,28.346837856134",-99.10463683103289,28.346837856134
50,mcmullen,"-98.56816940611087,28.35320000983059",-98.56816940611087,28.35320000983059
51,bee,"-97.73157317231536,28.43906053170564",-97.73157317231536,28.43906053170564
52,calhoun,"-96.65781980468762,28.49340219313245",-96.65781980468762,28.49340219313245
53,live oak,"-98.10941490031954,28.36408602883619",-98.10941490031954,28.36408602883619
54,goliad,"-97.42867043955371,28.6536918676569",-97.42867043955371,28.6536918676569
55,maverick,"-100.3281506945323,28.71130260797628",-100.3281506945323,28.71130260797628
56,zavala,"-99.75983504067965,28.86515399461983",-99.75983504067965,28.86515399461983
57,frio,"-99.10855565523997,28.86783886935145",-99.10855565523997,28.86783886935145
58,victoria,"-96.98345549473727,28.75580603167665",-96.98345549473727,28.75580603167665
59,karnes,"-97.84519254316456,28.91451056489383",-97.84519254316456,28.91451056489383
60,hudspeth,"-105.3701926405222,31.37417956518492",-105.3701926405222,31.37417956518492
61,anderson,"-95.65201473794825,31.79838808653104",-95.65201473794825,31.79838808653104
62,el paso,"-106.2589955179907,31.7640926725431",-106.2589955179907,31.7640926725431
63,bosque,"-97.59605630972979,31.91611027870504",-97.59605630972979,31.91611027870504
64,cherokee,"-95.16591410978177,31.78707149160292",-95.16591410978177,31.78707149160292
65,comanche,"-98.54293100930536,31.94986958724014",-98.54293100930536,31.94986958724014
66,hill,"-97.1523881840893,31.9721102011453",-97.1523881840893,31.9721102011453
